Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;250;64;31
0;14;91;57
0;145;84;64
150;207;59;15
150;250;35;42
250;118;128;120
0;67;138;118
200;123;108;31
150;250;42;51
250;118;74;84
200;17;79;74
150;67;149;24
100;250;11;50
250;235;49;28
