Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;9;250;225
200;15;143;194
0;19;250;227
0;10;250;225
0;10;250;233
0;8;137;189
0;18;250;224
0;40;188;238
0;5;250;227
0;20;250;184
0;15;144;208
0;35;124;227
100;7;106;231
250;68;146;168
250;53;193;217
