Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;84;176;181
0;52;250;226
0;58;196;227
0;84;162;178
0;32;146;226
0;47;164;227
0;53;250;226
200;67;250;225
0;33;250;226
100;66;250;229
100;40;250;181
0;66;250;226
0;31;144;226
0;53;250;225
0;39;250;227
0;79;157;194
0;41;250;227
0;35;141;226
100;40;250;182
0;60;250;188
0;42;250;228
0;58;222;225
200;69;250;226
0;61;212;226
