Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
100;26;193;194
0;19;250;107
200;0;131;217
0;18;250;226
0;27;250;86
100;22;238;168
100;15;162;231
200;0;133;221
0;50;224;141
200;0;138;221
0;17;250;102
0;26;198;229
200;18;249;213
250;184;33;226
250;76;77;188
0;19;250;214
0;11;250;66
0;14;250;228
0;18;250;217
100;0;135;219
0;41;226;169
100;16;250;212
0;9;226;199
0;6;246;218
0;17;250;151
0;14;250;226
0;11;227;155
0;50;142;138
