Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
28;166;208;53;37;250;233;73;0
139;78;184;49;51;250;233;95;100
14;250;215;16;40;250;211;0;0
3;250;189;50;36;250;210;14;0
3;250;188;34;27;250;210;0;0
17;250;234;21;43;250;212;0;0
236;155;132;165;250;8;245;201;50
14;219;201;90;35;250;210;93;0
