Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;250;123;31
0;90;237;34
0;87;250;35
0;250;86;40
0;250;51;84
0;112;250;20
0;117;235;105
0;250;69;197
0;216;142;16
0;91;250;25
