Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;68;239;185
200;51;200;172
250;53;195;157
200;60;200;185
150;118;173;70
0;31;231;56
200;44;120;18
0;0;169;54
150;68;82;22
250;126;89;11
250;250;40;52
250;52;250;124
0;3;221;16
250;250;49;65
250;52;113;39
100;49;104;113
0;0;114;14
0;70;173;22
100;25;80;81
250;157;75;34
100;250;72;41
200;137;105;56
0;28;141;42
200;36;157;112
0;0;73;14
200;51;137;108
250;84;201;102
