Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;250;250;250;33;88;250;18;4
0;3;163;29;169;68;250;22;162
150;0;201;41;77;52;250;16;66
100;3;250;132;147;118;210;29;250
0;67;141;51;71;30;97;41;169
0;6;104;32;16;0;238;25;94
150;33;169;47;196;224;94;55;204
0;53;225;74;114;75;250;18;183
0;11;250;47;100;228;97;27;195
100;250;11;21;27;17;250;6;119
50;11;242;78;170;62;250;25;239
