Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;0;250;32
0;27;250;49
0;19;250;70
0;0;225;21
0;25;250;43
0;18;250;15
0;19;250;42
0;18;250;23
0;18;250;21
0;18;250;25
