Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;0;250;25
0;40;250;30
250;250;41;55
250;250;45;35
200;175;60;51
0;0;250;29
250;197;104;34
250;113;89;20
250;250;42;62
200;108;164;39
250;161;123;51
200;160;56;32
250;163;60;51
100;51;88;51
200;159;63;24
200;200;61;50
250;250;51;34
