Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
100;0;237;225
0;0;250;225
250;24;250;167
0;54;145;223
0;11;250;226
0;0;250;225
100;61;144;217
