Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;66;250;228
0;92;160;228
0;54;250;231
0;57;221;224
200;33;250;224
100;55;250;118
200;104;165;216
0;0;175;219
0;67;250;225
0;107;162;181
