Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;86;100;140;83;250;39;139
150;250;67;32;236;91;250;23;158
150;119;117;25;11;128;189;98;76
50;39;124;26;118;250;71;16;170
0;17;145;99;23;105;250;29;53
150;250;81;130;115;50;250;45;130
200;250;40;95;250;221;67;41;133
0;0;250;9;53;105;250;30;9
150;250;16;31;216;84;250;14;132
