Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
100;250;250;0
100;250;250;0
0;12;250;175
0;12;250;238
200;36;135;211
200;18;250;211
0;30;72;229
0;20;187;169
0;8;250;206
0;13;250;178
