Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;46;240;164
0;28;250;92
0;24;250;74
0;33;250;21
200;0;94;31
0;25;250;32
0;25;242;166
0;50;250;13
200;86;154;35
0;28;242;166
0;28;240;163
0;21;250;35
0;0;250;29
0;26;250;30
0;32;250;21
0;27;250;22
