Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;7;250;197
100;6;120;231
250;21;80;236
100;0;117;193
0;8;250;168
0;0;241;223
0;6;250;135
0;4;250;175
