Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;89;217;26
0;53;146;25
200;78;250;19
0;88;250;39
0;132;239;15
0;128;229;77
250;99;250;56
0;79;250;20
0;108;194;27
0;111;246;115
250;85;250;23
0;0;250;19
